Company,FiscalYear,FiscalYearAD,TOTAL_ASSETS,CASH_AND_BANK_BALANCE,MONEY_AT_SHORT_NOTICE,Due_from_NRB,Placement_with_BFIs,LOANS,Loans_and_Advances_to_BFIs,Loans_and_Advances_to_Customers,INVESTMENTS,Investment_Securities,Investment_in_Subsidiaries,Investment_in_Associates,Investment_Property,OTHER_ASSETS,Derivative_Financial_Instruments,Other_Trading_Assets,Current_Tax_Assets,Deferred_Tax_Assets,Other_Assets,Goodwill_and_Intangible_Assets,PROPERTY_AND_EQUIPMENT,LIABILITIES,BORROWINGS,Due_to_BFIs,Due_to_NRB,Borrowing,Debt_Securities_Issued,DEPOSITS,OTHER_LIABILITIES_AND_PROVISIONS,Provisions,Current_Tax_Liabilities,Deferred_Tax_Liabilities,Subordinated_Liabilities,Other_Liabilities,SHAREHOLDERS_EQUITY,PAID_UP_CAPITAL,RESERVES_AND_SURPLUSES,Share_Premium,Retained_Earnings,Reserves,Non_Controlling_Interest,TOTAL_LIABILITIES_AND_EQUITY,Interest_Income,Interest_Expense,Net_Interest_Income,Fees_and_Commission_Income,Fees_and_Commission_Expense,Net_Fees_and_Commission_Income,Net_Interest_Fee_and_Commission_Income,Net_Trading_Income,Other_Operating_Income,Total_Operating_Income,Impairment_Charge,Net_Operating_Income,Operating_Expenses,Staff_Expenses,Other_Operating_Expenses,Depreciation_and_Amortization,Operating_Profit,Non_Operating_Income,Non_Operating_Expense,Profit_before_Tax,Income_Tax,Current_Tax,Deferred_Tax,Profit_Loss_for_the_period,Comprehensive_Income,Total_Comprehensive_Income,Regulatory_Adjustment,Net_Profit_Loss_as_per_profit_or_loss,Profit_Required_to_be_Appropriated_to_Statutory_Reserve,Profit_Required_to_be_Transferred_to_Regulatory_Reserve,Distributable_Profit,Net_Profit_or_Loss_as_per_statement_of_Profit_or_Loss,Add:_Opening_Retained_Earning,Profit_required_to_be_appropriated_to_Statutory_Reserve,Appropriations:,General_Reserve,Foreign_Exchange_Fluctuation_Fund,Capital_Redemption_Reserve,Corporate_Social_Responsibility_Fund,Employees'_Training_Fund,Other,Profit_required_to_be_appropriated_to_Regulatory_Reserve,Transfer_to_Regulatory_Reserve,Transfer_from_Regulatory_Reserve,Distributable_Profit_or_(Loss),Interest_Rate_Spread,Capital_Fund_to_RWA,Non-Performing_Loan_(NPL)_to_Total_Loan,Total_Loan_Loss_Provision_to_Total_NPL,Cost_of_Funds,Credit_to_Deposit_Ratio,Base_Rate,Assets,Liabilities,Equity,Total_Equity_Attributable_To_Equity_Holders,Non-Controlling Interest,Tier_1_Capital_to_RWA,CET_1_Capital_to_RWA
ADBL,2072/2073,2015/2016,112709833000.0,10453609000.0,151811000.0,0.0,0.0,79751861000.0,0.0,0.0,13978587000.0,13978587000.0,0.0,0.0,0.0,7226032000.0,0.0,0.0,0.0,0.0,0.0,7226032000.0,1147933000.0,93950122000.0,1943203000.0,0.0,0.0,563203000.0,1380000000.0,87263495000.0,4743424000.0,0.0,0.0,0.0,0.0,0.0,18759711000.0,10374400000.0,8385311000.0,0.0,0.0,0.0,0.0,112709833000.0,9563218000.0,3382579000.0,6180639000.0,0.0,0.0,496153000.0,0.0,0.0,672454000.0,7349246000.0,-61803000.0,7411049000.0,,3511678000.0,869483000.0,0.0,3029888000.0,406392000.0,0.0,3436280000.0,,859050000.0,0.0,2577230000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBL,2073/2074,2016/2017,132996553000.0,3695416000.0,21603417000.0,0.0,0.0,92426799000.0,0.0,0.0,6432032000.0,6330567000.0,101465000.0,0.0,0.0,7733185000.0,0.0,0.0,0.0,0.0,6101000.0,7727084000.0,1105704000.0,104775076000.0,1587933000.0,0.0,0.0,667933000.0,920000000.0,99816272000.0,3370871000.0,0.0,0.0,0.0,0.0,0.0,28221478000.0,13937928000.0,14283550000.0,0.0,0.0,0.0,0.0,132996554000.0,11434767000.0,4224871000.0,7209896000.0,336024000.0,0.0,336024000.0,0.0,0.0,748860000.0,8294780000.0,-55964000.0,8350744000.0,,3427429000.0,842897000.0,0.0,4080418000.0,766041000.0,0.0,4846459000.0,,1188028000.0,0.0,3658431000.0,-908612000.0,2749819000.0,0.0,3658431000.0,0.0,1109800000.0,2548631000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBL,2074/2075,2017/2018,139848626000.0,3899693000.0,16351260000.0,0.0,0.0,99866016000.0,0.0,0.0,11914428000.0,11812963000.0,101465000.0,0.0,0.0,6686455000.0,0.0,0.0,0.0,0.0,131205000.0,6555250000.0,1130774000.0,109176289000.0,1016923000.0,0.0,0.0,556923000.0,460000000.0,105006497000.0,3152869000.0,0.0,0.0,0.0,0.0,0.0,30672336000.0,13937928000.0,16734408000.0,0.0,0.0,0.0,0.0,139848625000.0,13768167000.0,6966158000.0,6802009000.0,355523000.0,1029000.0,354494000.0,0.0,0.0,798042000.0,7954545000.0,-2464000.0,7957009000.0,,2833643000.0,867324000.0,0.0,4256042000.0,274686000.0,0.0,4530728000.0,,1453506000.0,0.0,3077222000.0,-635461000.0,2441761000.0,0.0,3077222000.0,0.0,-596069000.0,3673291000.0,3077222000.0,,0.0,,,,,,,,596069000.0,596069000.0,,3673291000.0,5.43,20.18,3.19,114.87,7.38,77.52,11.73,,,,,,,
ADBL,2075/2076,2018/2019,144899120100.0,14944541140.0,4561247410.0,4561247410.0,0.0,110378910900.0,495000000.0,109883910900.0,12121444950.0,16859858806.0,28840000.0,69384000.0,258423496.0,1696866820.0,0.0,0.0,304861123.0,0.0,2642285302.0,1313568540.0,1196108950.0,117887400200.0,1196614430.0,200262470.0,197727620.0,62040512.0,460000000.0,112848770600.0,3842015190.0,0.0,0.0,155577318.0,0.0,3755559790.0,27011719950.0,14448240960.0,12563478990.0,0.0,3793451951.0,10408942769.0,0.0,144899120100.0,15480122105.0,7865130446.0,7614991659.0,275217420.0,495550.0,274721880.0,5576716760.0,318873266.0,18897949.0,8938341198.0,540776610.0,9228187756.0,,2346076170.0,791414785.0,119591780.0,5341718317.0,382280672.0,0.0,3116142170.0,1532408354.0,1565726664.0,-33318310.0,2212127150.0,-52490330.0,2159636810.0,0.0,2212127150.0,508393070.0,374004890.0,1329729190.0,4353247231.0,,922263283.0,,870649446.0,32747682.0,,43532472.0,28478189.0,-20396824.0,119635901.0,182085383.0,62449482.0,3311348047.0,4.68,20.33,2.9,81.73,7.41,78.72,10.58,,,,28650635680.0,,,
ADBL,2076/2077,2019/2020,179417063792.0,8504501145.0,,12561906357.0,5007605980.0,,1149049951.0,123052284885.0,,24379545032.0,28840000.0,69384000.0,220925902.0,,133762200.0,37212444.0,853534962.0,0.0,1836048666.0,289802789.0,1292659481.0,150957625424.0,,103132518.0,9670494.0,12060080.0,2494649108.0,143648272757.0,,0.0,0.0,145013518.0,0.0,4544826950.0,28459438369.0,14989172698.0,,0.0,2100459552.0,11369806119.0,,179417063792.0,15349073111.0,9113280400.0,6235792710.0,1912610873.0,99142370.0,1813468503.0,8049261213.0,391148467.0,34854293.0,8475263973.0,344648259.0,8130615714.0,,2540615532.0,914518957.0,215531760.0,4459949465.0,80732249.0,36980.0,4540644735.0,1072612859.0,1071405453.0,1207406.0,3468031876.0,,,,,,,,3468031876.0,,714649138.0,,693606375.0,1545095.0,,34680319.0,16404148.0,-31586799.0,1087986831.0,1125484425.0,37497594.0,1665395907.0,4.44,20.46,2.71,121.11,6.4,66.31,9.26,,,,28459438369.0,0.0,,
ADBL,2077/2078,2020/2021,222520891576.0,10657796947.0,,9740613308.0,4117575000.0,,115165303.0,152862504947.0,,37898796739.0,28840000.0,69384000.0,198284843.0,,144592160.0,1640639672.0,1191126898.0,,2191201906.0,262005147.0,1476094467.0,190872075236.0,,175324116.0,8716363161.0,539652648.0,14476103219.0,162677269936.0,,,,319402441.0,,3967959716.0,31648816339.0,16422641802.0,,,3607666972.0,11618507564.0,,222520891576.0,14519025295.0,8254877673.0,6264147622.0,1628926316.0,45766689.0,1583159627.0,7847307249.0,959411125.0,502905965.0,9309624339.0,23566716.0,9286057623.0,,2703501772.0,1080589338.0,275262687.0,5226703827.0,26199520.0,3214015.0,5249689332.0,1555219192.0,1363284307.0,191934885.0,3694470140.0,,,,,,,,3694470140.0,,1240696893.0,,738894028.0,,500000000.0,36944701.0,35822464.0,-70964300.0,718771565.0,890939428.0,172167863.0,1735001682.0,4.37,23.13,1.84,152.46,4.7,73.53,7.13,,,,31648816339.0,,,
ADBL,2078/2079,2021/2022,245987541550.0,6581908028.0,,6208948746.0,127800000.0,,2417994323.0,178514788743.0,,45890179132.0,28840000.0,69384000.0,252593914.0,,101430000.0,1115574733.0,1004818949.0,,1798282703.0,229766704.0,1645231572.0,212237920053.0,,7998742407.0,9828901234.0,1777211512.0,20476211557.0,166496965813.0,,,,12655633.0,,5647231897.0,33749621497.0,18620627763.0,,,3906990597.0,11222003137.0,,245987541550.0,18998219117.0,11219114884.0,7779104233.0,1463709528.0,70921074.0,1392788455.0,9171892687.0,-262451359.0,242421352.0,9151862680.0,295148317.0,8856714363.0,,3329590571.0,1091697174.0,317260237.0,4118166382.0,87989523.0,51546554.0,4154609351.0,1464551572.0,1643674096.0,-179122524.0,2690057779.0,,,,,,,,2690057779.0,1878990438.0,790108801.0,,582168906.0,,500000000.0,26900578.0,25806965.0,-344767648.0,-128051182.0,179990669.0,308041851.0,3906990597.0,4.37,16.34,1.68,154.3,6.89,89.17,8.9,,,,33749621497.0,,,
ADBL,2079/2080,2022/2023,264661279181.0,9462881551.0,,7096495884.0,156300000.0,,8432457000.0,171699191787.0,,55383195331.0,28840000.0,69384000.0,248649555.0,,17588448.0,2007676819.0,717695136.0,53676170.0,7183064242.0,142901978.0,2240641450.0,230438243742.0,,2095919987.0,4571178.0,2136563784.0,20469234585.0,199486613568.0,,,,104048784.0,,6141291856.0,34223035440.0,18884386078.0,,,3608930960.0,11729718402.0,,264661279182.0,23606993499.0,15526592642.0,8080400857.0,1367890631.0,146775841.0,1221114790.0,9301515647.0,1057154014.0,134319000.0,10492988661.0,919120301.0,9573868360.0,,3432933314.0,1286752650.0,309968044.0,4544214352.0,158325721.0,56719063.0,4645821010.0,1546483935.0,1190664076.0,355819859.0,3099337075.0,,,,,,,,3099337076.0,3521792308.0,1133009146.0,,621682339.0,,500000000.0,30993371.0,9217191.0,-28883755.0,1966327930.0,-1440571485.0,-2040391769.0,2007156984.0,3.94,15.05,2.48,137.7,7.51,81.73,10.06,,,,34223035440.0,,,
ADBL,2080/2081,2023/2024,312992024970.0,4393913612.0,,8783230709.0,5886142500.0,,3279989935.0,201765881933.0,,75533173335.0,28840000.0,,943089080.0,,,1216149394.0,196055638.0,,8874073894.0,73199897.0,2214340680.0,275839899091.0,,197018769.0,3357331.0,2664573352.0,20479119555.0,243589840861.0,,,286572362.0,425415178.0,,8194001683.0,37152125878.0,18884386078.0,,,2662757740.0,15604982060.0,,312992024970.0,27141949462.0,17017669315.0,10124280147.0,1664192539.0,235916536.0,1428276003.0,11552556150.0,50683180.0,177794482.0,11781033812.0,1233610492.0,10547423320.0,,3786169569.0,999749167.0,466902695.0,5294601889.0,1425118.0,49113.0,5295977894.0,1640315257.0,1572906932.0,67408324.0,3655662638.0,,,,,,,,3655662638.0,1243168613.0,1276954030.0,,730659099.0,,500000000.0,36556626.0,36830993.0,-27092688.0,-959119481.0,-959119481.0,,2662757740.0,3.95,13.44,3.44,113.16,5.88,77.8,8.09,,,,37152125878.0,,,
ADBL,2081/2082,2024/2025,362502073670.0,4706776991.0,,22821623418.0,9848437500.0,,2900424319.0,213142809413.0,,96447099076.0,29013000.0,,1308435650.0,,254716079304.0,1666619168.0,448505907.0,,7155581916.0,23142168.0,2452111051.0,323346134953.0,,570773048.0,3357331.0,169291266.0,20481846212.0,2804657063.0,,,12029542.0,457352706.0,,5287370791.0,39155938714.0,19287936300.0,,,2877975616.0,16990026798.0,,362502073669.0,22822486830.0,13001002826.0,9821484004.0,1624666303.0,288794260.0,1335872043.0,11157356047.0,578416456.0,260048762.0,11995821265.0,106221764.0,11889599501.0,,4581696853.0,1024598219.0,435676502.0,5847627927.0,2539654.0,3590898.0,5850167581.0,390563108.0,1635910033.0,59781756.0,4154475792.0,,,,,,,,4154475792.0,393663575.0,1400634187.0,,830895158.0,500000000.0,1239499.0,41544758.0,21717226.0,5237546.0,-269529562.0,-269529562.0,,2877975616.0,3.96,13.36,3.26,132.66,3.81,68.68,5.87,,,,39155938714.0,,11.93,9.96
