Company,FiscalYear,FiscalYearAD,y_true,y_pred_proba
ADBL,2074/2075,2017/2018,0,0.2425281534043675
ADBL,2075/2076,2018/2019,0,0.25746724609710614
ADBL,2076/2077,2019/2020,0,0.24167473359822278
ADBL,2077/2078,2020/2021,0,0.05438683752501283
ADBL,2078/2079,2021/2022,1,0.09257244593485292
ADBL,2079/2080,2022/2023,1,0.09768273881805434
ADBL,2080/2081,2023/2024,0,0.03089913233651842
ADBL,2081/2082,2024/2025,1,0.047948071991282815
EBL,2074/2075,2017/2018,0,0.04741112462725505
EBL,2075/2076,2018/2019,0,0.0030817672065536206
EBL,2076/2077,2019/2020,0,0.19362429551515958
EBL,2077/2078,2020/2021,0,0.3084915509001658
EBL,2078/2079,2021/2022,1,0.021772238862236115
EBL,2079/2080,2022/2023,0,0.28365522712889724
EBL,2080/2081,2023/2024,0,0.019003029832788343
EBL,2081/2082,2024/2025,0,0.1907882874819835
GBIME,2074/2075,2017/2018,0,0.38658521878047447
GBIME,2075/2076,2018/2019,1,0.07932475354185065
GBIME,2076/2077,2019/2020,0,0.060931921304238745
GBIME,2077/2078,2020/2021,0,0.03355523940168703
GBIME,2078/2079,2021/2022,1,0.08240770107206907
GBIME,2079/2080,2022/2023,1,0.5165887640282399
GBIME,2080/2081,2023/2024,0,0.03615526801044466
GBIME,2081/2082,2024/2025,0,0.2063095203609293
HBL,2074/2075,2017/2018,0,0.33207722017802666
HBL,2075/2076,2018/2019,0,0.023441395406004317
HBL,2076/2077,2019/2020,0,0.2283890298805198
HBL,2077/2078,2020/2021,0,0.02445372872730811
HBL,2078/2079,2021/2022,1,0.14235092562716933
HBL,2079/2080,2022/2023,0,0.6500835292456192
HBL,2080/2081,2023/2024,1,0.24376615631317056
HBL,2081/2082,2024/2025,0,0.3832388575288056
NABIL,2074/2075,2017/2018,0,0.04819027142740273
NABIL,2075/2076,2018/2019,0,0.0013767440991121482
NABIL,2076/2077,2019/2020,0,0.2212027294054253
NABIL,2077/2078,2020/2021,1,0.07546950515651696
NABIL,2078/2079,2021/2022,1,0.003526742453294318
NABIL,2079/2080,2022/2023,1,0.9364439653970956
NABIL,2080/2081,2023/2024,0,0.5965708790901743
NABIL,2081/2082,2024/2025,0,0.10550500504080751
NICA,2074/2075,2017/2018,0,0.4287680401670768
NICA,2075/2076,2018/2019,0,0.10259386157307837
NICA,2076/2077,2019/2020,0,0.12161373512721774
NICA,2077/2078,2020/2021,0,0.02009180657006404
NICA,2078/2079,2021/2022,0,0.09102245615314897
NICA,2079/2080,2022/2023,1,0.6506057644291775
NICA,2080/2081,2023/2024,0,0.08619461744971635
NICA,2081/2082,2024/2025,1,0.0011349495304089352
NMB,2074/2075,2017/2018,0,0.5003005970010673
NMB,2075/2076,2018/2019,1,0.013829788934053289
NMB,2076/2077,2019/2020,0,0.12962278926357929
NMB,2077/2078,2020/2021,0,0.0083236367685936
NMB,2078/2079,2021/2022,1,0.0414742364360311
NMB,2079/2080,2022/2023,1,0.5156110477321336
NMB,2080/2081,2023/2024,0,0.6451848070970696
NMB,2081/2082,2024/2025,1,0.1265036724790799
PCBL,2074/2075,2017/2018,0,0.47617739143239646
PCBL,2075/2076,2018/2019,1,0.0630162634635788
PCBL,2076/2077,2019/2020,0,0.04451852531362155
PCBL,2077/2078,2020/2021,0,0.0015948165410138992
PCBL,2078/2079,2021/2022,1,0.44712686652948574
PCBL,2079/2080,2022/2023,0,0.7849497962181746
PCBL,2080/2081,2023/2024,1,0.49963606058384535
PCBL,2081/2082,2024/2025,0,0.4024153600255931
SANIMA,2074/2075,2017/2018,0,0.5820842214075779
SANIMA,2075/2076,2018/2019,0,0.09643365395496217
SANIMA,2076/2077,2019/2020,0,0.04225132198541326
SANIMA,2077/2078,2020/2021,0,0.07188219278289487
SANIMA,2078/2079,2021/2022,1,0.13554714877388363
SANIMA,2079/2080,2022/2023,0,0.03561056543651553
SANIMA,2080/2081,2023/2024,0,0.0961791601405444
SANIMA,2081/2082,2024/2025,0,0.021712781874488996
SCB,2074/2075,2017/2018,0,0.17002997104728634
SCB,2075/2076,2018/2019,0,0.008332046926791903
SCB,2076/2077,2019/2020,1,0.25031975310498455
SCB,2077/2078,2020/2021,0,0.2674470041536552
SCB,2078/2079,2021/2022,1,0.0793542353850103
SCB,2079/2080,2022/2023,1,0.004063855169384234
SCB,2080/2081,2023/2024,0,0.06092491283124368
SCB,2081/2082,2024/2025,0,0.08345113947196858
