Company,n,n_positive,true_rate,mean_pred_proba,bias
ADBL,8,3,0.375,0.3809553999453783,0.0059553999453783035
EBL,8,1,0.125,0.377959530800581,0.252959530800581
GBIME,8,3,0.375,0.3560174759477377,-0.018982524052262306
HBL,8,2,0.25,0.45084502920508385,0.20084502920508385
NABIL,8,3,0.375,0.44493113458156586,0.06993113458156586
NICA,8,2,0.25,0.38703978434205055,0.13703978434205055
NMB,8,4,0.5,0.511307692155242,0.011307692155241966
PCBL,8,3,0.375,0.5969651006162167,0.22196510061621666
SANIMA,8,1,0.125,0.4435672461986542,0.3185672461986542
SCB,8,3,0.375,0.3201859104447067,-0.05481408955529332
